Time,Lapse1_daily_mean_RH
2017-09-28,76.03
2017-09-29,87.43775
2017-09-30,93.22375
2017-10-01,94.50875
2017-10-02,91.9115
2017-10-03,86.34725
2017-10-04,84.833625
2017-10-05,82.9715
2017-10-06,91.1265
2017-10-07,95.61225
2017-10-08,95.708875
2017-10-09,93.376125
2017-10-10,96.699625
2017-10-11,95.758375
2017-10-12,96.467375
2017-10-13,96.8105
2017-10-14,96.867
2017-10-15,94.97175
2017-10-16,95.1505
2017-10-17,97.15475
2017-10-18,96.811125
2017-10-19,97.83325
2017-10-20,99.066625
2017-10-21,98.899125
2017-10-22,98.34
2017-10-23,97.816375
2017-10-24,94.913
2017-10-25,95.666875
2017-10-26,96.75025
2017-10-27,94.140625
2017-10-28,91.978125
2017-10-29,84.6465
2017-10-30,89.563625
2017-10-31,92.853
2017-11-01,94.90675
2017-11-02,94.678625
2017-11-03,99.33925
2017-11-04,100.66775
2017-11-05,99.9585555556
2017-11-06,100.226625
2017-11-07,98.998375
2017-11-08,96.523375
2017-11-09,95.957
2017-11-10,96.009875
2017-11-11,94.156
2017-11-12,94.338
2017-11-13,96.06875
2017-11-14,97.722
2017-11-15,97.945875
2017-11-16,97.833625
2017-11-17,97.323625
2017-11-18,95.932375
2017-11-19,94.449875
2017-11-20,97.15525
2017-11-21,96.575875
2017-11-22,95.308875
2017-11-23,97.152125
2017-11-24,97.49475
2017-11-25,96.6385
2017-11-26,94.27725
2017-11-27,95.323
2017-11-28,95.2065
2017-11-29,96.07175
2017-11-30,96.07125
2017-12-01,97.15275
2017-12-02,97.665125
2017-12-03,98.058375
2017-12-04,98.283875
2017-12-05,94.0795
2017-12-06,92.16275
2017-12-07,95.460125
2017-12-08,96.780625
2017-12-09,96.038875
2017-12-10,98.1005
2017-12-11,97.6605
2017-12-12,98.324375
2017-12-13,97.410625
2017-12-14,97.589375
2017-12-15,93.7985
2017-12-16,96.01375
2017-12-17,95.72425
2017-12-18,96.5855
2017-12-19,98.395125
2017-12-20,95.579125
2017-12-21,95.6375
2017-12-22,97.29025
2017-12-23,104.2145
2017-12-24,102.149625
2017-12-25,101.742375
2017-12-26,99.002625
2017-12-27,96.212
2017-12-28,94.62575
2017-12-29,97.154875
2017-12-30,98.564
2017-12-31,95.252125
2018-01-01,96.96075
2018-01-02,93.50925
2018-01-03,92.66325
2018-01-04,90.59475
2018-01-05,92.1435
2018-01-06,96.128375
2018-01-07,97.77475
2018-01-08,97.49525
2018-01-09,98.5635
2018-01-10,99.51075
2018-01-11,99.345
2018-01-12,97.492
2018-01-13,96.642875
2018-01-14,96.242875
2018-01-15,89.521
2018-01-16,85.438
2018-01-17,85.246625
2018-01-18,92.042625
2018-01-19,91.8015
2018-01-20,92.576375
2018-01-21,92.75075
2018-01-22,96.41375
2018-01-23,96.870375
2018-01-24,95.319875
2018-01-25,96.700625
2018-01-26,97.0995
2018-01-27,96.70025
2018-01-28,95.72075
2018-01-29,94.503625
2018-01-30,97.496125
2018-01-31,97.268625
2018-02-01,96.471625
2018-02-02,94.0975
2018-02-03,92.636375
2018-02-04,90.48575
2018-02-05,90.7275
2018-02-06,90.242375
2018-02-07,88.35575
2018-02-08,85.819125
2018-02-09,89.937375
2018-02-10,76.171125
2018-02-11,77.258
2018-02-12,93.787
2018-02-13,94.198
2018-02-14,78.4825
2018-02-15,78.636125
2018-02-16,82.46125
2018-02-17,84.690875
2018-02-18,94.45525
2018-02-19,102.545
2018-02-20,100.762875
2018-02-21,101.146625
2018-02-22,101.388875
2018-02-23,95.361625
2018-02-24,75.800125
2018-02-25,71.65975
2018-02-26,73.69425
2018-02-27,70.61025
2018-02-28,73.893
2018-03-01,80.0635
2018-03-02,81.62425
2018-03-03,73.52825
2018-03-04,70.43
2018-03-05,74.15875
2018-03-06,71.609625
2018-03-07,78.78675
2018-03-08,71.274625
2018-03-09,78.86625
2018-03-10,70.081875
2018-03-11,71.6151428571
2018-03-12,90.824875
2018-03-13,89.680375
2018-03-14,75.885375
2018-03-15,72.95525
2018-03-16,70.663875
2018-03-17,78.986375
2018-03-18,74.149375
2018-03-19,71.918125
2018-03-20,78.487
2018-03-21,82.387125
2018-03-22,73.00275
2018-03-23,78.293125
2018-03-24,72.633125
2018-03-25,70.87625
2018-03-26,65.234375
2018-03-27,74.33825
2018-03-28,75.33675
2018-03-29,54.390625
2018-03-30,59.278125
2018-03-31,70.48425
2018-04-01,67.7515
2018-04-02,66.544375
2018-04-03,71.59025
2018-04-04,67.57775
2018-04-05,65.743
2018-04-06,59.302875
2018-04-07,47.4635
2018-04-08,50.358875
2018-04-09,59.81575
2018-04-10,54.693125
2018-04-11,55.7915
2018-04-12,61.1665
2018-04-13,48.287625
2018-04-14,53.32975
2018-04-15,63.55975
2018-04-16,53.24625
2018-04-17,59.076375
2018-04-18,58.74
2018-04-19,71.461125
2018-04-20,81.211875
2018-04-21,66.668
2018-04-22,72.857875
2018-04-23,75.76575
2018-04-24,74.622375
2018-04-25,71.383625
2018-04-26,66.60425
2018-04-27,69.184875
2018-04-28,46.469125
2018-04-29,55.645
2018-04-30,54.283125
2018-05-01,58.15325
2018-05-02,70.758
2018-05-03,73.82925
2018-05-04,83.3305
2018-05-05,71.712625
2018-05-06,84.595375
2018-05-07,80.303
2018-05-08,69.72525
2018-05-09,45.8715
2018-05-10,49.292875
2018-05-11,59.094
2018-05-12,72.254375
2018-05-13,71.391375
2018-05-14,62.682625
2018-05-15,68.966125
2018-05-16,85.4005
2018-05-17,85.042125
2018-05-18,85.289125
2018-05-19,67.641375
2018-05-20,51.393875
2018-05-21,69.450625
2018-05-22,73.089125
2018-05-23,71.240375
2018-05-24,84.455625
2018-05-25,75.095375
2018-05-26,79.225625
2018-05-27,74.105875
2018-05-28,75.336625
2018-05-29,76.777375
2018-05-30,71.858875
2018-05-31,85.0175
2018-06-01,81.74425
2018-06-02,76.590625
2018-06-03,63.029875
2018-06-04,54.275875
2018-06-05,79.025375
2018-06-06,75.937625
2018-06-07,83.7635
2018-06-08,63.8525
2018-06-09,37.562375
2018-06-10,42.0545
2018-06-11,52.32275
2018-06-12,70.268875
2018-06-13,37.598625
2018-06-14,36.703875
2018-06-15,54.44175
2018-06-16,56.756625
2018-06-17,64.242375
2018-06-18,62.12025
2018-06-19,68.74175
2018-06-20,73.45075
2018-06-21,85.9405
2018-06-22,70.37725
2018-06-23,60.686875
2018-06-24,64.465625
2018-06-25,37.146125
2018-06-26,40.1435
2018-06-27,69.19625
2018-06-28,79.277
2018-06-29,58.785375
2018-06-30,9.05425
2018-07-01,38.115625
2018-07-02,49.721375
2018-07-03,51.498625
2018-07-04,78.586
2018-07-05,70.469875
2018-07-06,78.74875
2018-07-07,52.116875
2018-07-08,55.71575
2018-07-09,77.627375
2018-07-10,56.210875
2018-07-11,68.203
2018-07-12,70.7795
2018-07-13,68.6555
2018-07-14,60.017625
2018-07-15,57.949375
2018-07-16,57.389125
2018-07-17,59.639375
2018-07-18,78.853625
2018-07-19,85.35775
2018-07-20,76.81475
2018-07-21,72.98125
2018-07-22,70.034375
2018-07-23,68.545
2018-07-24,66.715625
2018-07-25,84.46025
